Occupation,Probability,A_MEAN,EMPLOYEES,EDUCATION
Recreational Therapists,0.0028,50640,18840,Bachelor's degree
Mental Health and Substance Abuse Social Workers,0.0031,49630,116750,Master's degree
Occupational Therapists,0.0035,85350,126900,Master's degree
Orthotists and Prosthetists,0.0035,73860,8830,Master's degree
Healthcare Social Workers,0.0035,58470,168190,Master's degree
Oral and Maxillofacial Surgeons,0.0036,242370,4830,Doctoral or professional degree
Choreographers,0.004,53560,5090,High school diploma or equivalent
"Psychologists, All Other",0.0043,95610,13480,Master's degree
First-Line Supervisors of Police and Detectives,0.0044,93100,116660,High school diploma or equivalent
"Dentists, General",0.0044,175840,113000,Doctoral or professional degree
"Medical Scientists, Except Epidemiologists",0.0045,96420,120320,Doctoral or professional degree
"Clinical, Counseling, and School Psychologists",0.0047,85340,110490,Doctoral or professional degree
Fabric and Apparel Patternmakers,0.0049,49180,5220,High school diploma or equivalent
Set and Exhibit Designers,0.0055,61020,10590,Bachelor's degree
Recreation Workers,0.0061,28310,353570,High school diploma or equivalent
Speech-Language Pathologists,0.0064,80700,146900,Master's degree
Computer Systems Analysts,0.0065,93610,587970,Bachelor's degree
Curators,0.0068,58490,12280,Master's degree
"Preschool Teachers, Except Special Education",0.0074,34410,424520,Associate's degree
Anthropologists and Archeologists,0.0077,65310,6020,Master's degree
Foresters,0.0081,63150,8410,Bachelor's degree
"Educational, Guidance, School, and Vocational Counselors",0.0085,60160,285460,Master's degree
Rehabilitation Counselors,0.0094,39930,106860,Master's degree
Forensic Science Technicians,0.0095,62490,15970,Bachelor's degree
"Makeup Artists, Theatrical and Performance",0.01,72030,3140,Postsecondary nondegree award
"Education Administrators, Postsecondary",0.01,111210,143430,Master's degree
Microbiologists,0.012,81150,20030,Bachelor's degree
Industrial-Organizational Psychologists,0.012,109030,780,Master's degree
Sales Managers,0.013,140320,379050,Bachelor's degree
Hydrologists,0.014,82790,6290,Bachelor's degree
Marketing Managers,0.014,147240,240440,Bachelor's degree
Marriage and Family Therapists,0.014,54150,48520,Master's degree
"Engineers, All Other",0.014,99410,142030,Bachelor's degree
"Biological Scientists, All Other",0.015,83600,42640,Bachelor's degree
Multimedia Artists and Animators,0.015,78230,28560,Bachelor's degree
"Education Administrators, Preschool and Childcare Center/Program",0.015,53990,50650,Bachelor's degree
Music Directors and Composers,0.015,59790,12160,Bachelor's degree
Conservation Scientists,0.016,65320,22200,Bachelor's degree
"Architects, Except Landscape and Naval",0.018,88860,104360,Bachelor's degree
Physical Therapist Assistants,0.018,57750,94250,Associate's degree
"Health Diagnosing and Treating Practitioners, All Other",0.02,85600,36680,Master's degree
Soil and Plant Scientists,0.021,70630,15010,Bachelor's degree
Materials Scientists,0.021,102450,7730,Bachelor's degree
Fashion Designers,0.021,87610,19750,Bachelor's degree
Physical Therapists,0.021,88880,228600,Doctoral or professional degree
Producers and Directors,0.022,89840,118630,Bachelor's degree
Interior Designers,0.022,59120,57070,Bachelor's degree
Orthodontists,0.023,225760,5350,Doctoral or professional degree
Art Directors,0.023,104590,40210,Bachelor's degree
First-Line Supervisors of Correctional Officers,0.025,68350,43760,High school diploma or equivalent
"Electronics Engineers, Except Computer",0.025,107930,134110,Bachelor's degree
Biochemists and Biophysicists,0.027,105940,28500,Doctoral or professional degree
Occupational Therapy Assistants,0.028,60410,42660,Associate's degree
"Child, Family, and School Social Workers",0.028,49760,320170,Bachelor's degree
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.028,93630,26230,Bachelor's degree
Industrial Engineers,0.029,91630,279550,Bachelor's degree
Veterinary Technologists and Technicians,0.029,35560,106680,Associate's degree
Industrial Engineering Technicians,0.03,58860,66540,Associate's degree
Network and Computer Systems Administrators,0.03,87070,366250,Bachelor's degree
Database Administrators,0.03,92030,110090,Bachelor's degree
"Environmental Scientists and Specialists, Including Health",0.033,77580,80480,Bachelor's degree
Lawyers,0.035,144230,642750,Doctoral or professional degree
Craft Artists,0.035,40490,3980,No formal educational credential
Commercial and Industrial Designers,0.037,71430,33200,Bachelor's degree
Writers and Authors,0.038,73090,45210,Bachelor's degree
Political Scientists,0.039,115300,5660,Master's degree
Credit Counselors,0.04,49820,35740,Bachelor's degree
"Social Scientists and Related Workers, All Other",0.04,85750,35530,Bachelor's degree
Astronomers,0.041,111090,2160,Doctoral or professional degree
"Software Developers, Applications",0.042,108080,903160,Bachelor's degree
"Fine Artists, Including Painters, Sculptors, and Illustrators",0.042,58370,11620,Bachelor's degree
Psychiatric Technicians,0.043,37760,71360,Postsecondary nondegree award
Landscape Architects,0.045,73160,18660,Bachelor's degree
Health Educators,0.045,59660,58780,Bachelor's degree
Floral Designers,0.047,28900,43360,High school diploma or equivalent
Forest Fire Inspectors and Prevention Specialists,0.048,49610,2130,High school diploma or equivalent
Editors,0.055,69480,95750,Bachelor's degree
Prosthodontists,0.055,191400,380,Doctoral or professional degree
"Healthcare Practitioners and Technical Workers, All Other",0.055,63340,32680,Postsecondary nondegree award
"Arbitrators, Mediators, and Conciliators",0.06,72760,6240,Bachelor's degree
Animal Scientists,0.061,67690,2530,Bachelor's degree
Respiratory Therapists,0.066,62500,129600,Associate's degree
Broadcast News Analysts,0.067,91990,5890,Bachelor's degree
First-Line Supervisors of Non-Retail Sales Workers,0.075,84600,247570,High school diploma or equivalent
Food Scientists and Technologists,0.077,72570,13330,Bachelor's degree
Graphic Designers,0.082,54680,217810,Bachelor's degree
Fitness Trainers and Aerobics Instructors,0.085,44580,308470,High school diploma or equivalent
Electrical Power-Line Installers and Repairers,0.097,70240,114800,High school diploma or equivalent
Police and Sheriff's Patrol Officers,0.098,65400,661330,High school diploma or equivalent
Chefs and Head Cooks,0.1,52160,128600,High school diploma or equivalent
Radio and Television Announcers,0.1,51630,27780,Bachelor's degree
Electrical Engineers,0.1,101600,186490,Bachelor's degree
Chemists,0.1,83850,84560,Bachelor's degree
Respiratory Therapy Technicians,0.1,51380,9090,Associate's degree
Physicists,0.1,125280,17620,Doctoral or professional degree
"Hairdressers, Hairstylists, and Cosmetologists",0.11,30190,377210,Postsecondary nondegree award
Reporters and Correspondents,0.11,55530,37140,Bachelor's degree
Air Traffic Controllers,0.11,120830,22390,Associate's degree
Nuclear Medicine Technologists,0.13,78870,18810,Associate's degree
"Software Developers, Systems Software",0.13,114000,405330,Bachelor's degree
Dietetic Technicians,0.13,30130,33540,Associate's degree
Social and Human Service Assistants,0.13,35830,392300,High school diploma or equivalent
Sound Engineering Technicians,0.13,63500,13510,Postsecondary nondegree award
Occupational Health and Safety Specialists,0.17,74940,88390,Bachelor's degree
Commercial Divers,0.18,59470,3380,Postsecondary nondegree award
Manufactured Building and Mobile Home Installers,0.18,32910,2920,High school diploma or equivalent
Epidemiologists,0.2,75690,7060,Master's degree
Concierges,0.21,33550,37490,High school diploma or equivalent
"Computer Occupations, All Other",0.22,93350,381380,Bachelor's degree
"Business Operations Specialists, All Other",0.23,76960,1060580,Bachelor's degree
Financial Analysts,0.23,100990,306200,Bachelor's degree
Cardiovascular Technologists and Technicians,0.23,58730,56560,Associate's degree
"Engineering Technicians, Except Drafters, All Other",0.24,65720,83360,Associate's degree
Geographers,0.25,80530,1390,Bachelor's degree
Occupational Health and Safety Technicians,0.25,55270,18020,High school diploma or equivalent
Probation Officers and Correctional Treatment Specialists,0.25,58790,87660,Bachelor's degree
Environmental Engineering Technicians,0.25,54800,17310,Associate's degree
"Managers, All Other",0.25,115590,462840,Bachelor's degree
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.25,91830,312980,Bachelor's degree
"Captains, Mates, and Pilots of Water Vessels",0.27,82380,36390,Postsecondary nondegree award
Occupational Therapy Aides,0.27,32580,7700,High school diploma or equivalent
Medical Equipment Repairers,0.27,52710,46320,Associate's degree
First-Line Supervisors of Retail Sales Workers,0.28,45080,1181530,High school diploma or equivalent
Skincare Specialists,0.29,36350,50740,Postsecondary nondegree award
Medical Assistants,0.3,34540,673660,Postsecondary nondegree award
Zoologists and Wildlife Biologists,0.3,67760,17860,Bachelor's degree
"Cooks, Private Household",0.3,41240,460,Postsecondary nondegree award
Film and Video Editors,0.31,86830,28160,Bachelor's degree
"Financial Specialists, All Other",0.33,77580,128760,Bachelor's degree
Surgical Technologists,0.34,49040,110160,Postsecondary nondegree award
Radiation Therapists,0.34,86730,18260,Associate's degree
"Plumbers, Pipefitters, and Steamfitters",0.35,58150,438070,High school diploma or equivalent
Diagnostic Medical Sonographers,0.35,73860,71130,Associate's degree
Bailiffs,0.36,49870,18900,High school diploma or equivalent
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0.36,56300,23770,Postsecondary nondegree award
"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.36,57080,229890,Postsecondary nondegree award
Cleaners of Vehicles and Equipment,0.37,26900,378850,No formal educational credential
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.38,80040,22980,Postsecondary nondegree award
Surveyors,0.38,66440,45310,Bachelor's degree
Mechanical Engineering Technicians,0.38,58240,41460,Associate's degree
"Packers and Packagers, Hand",0.38,26490,663970,No formal educational credential
Interpreters and Translators,0.38,55230,57140,Bachelor's degree
Home Health Aides,0.39,25330,797670,High school diploma or equivalent
Upholsterers,0.39,35920,32870,High school diploma or equivalent
"Judges, Magistrate Judges, and Magistrates",0.4,121130,28520,Doctoral or professional degree
"Mobile Heavy Equipment Mechanics, Except Engines",0.4,53370,140260,High school diploma or equivalent
"Health Technologists and Technicians, All Other",0.4,47450,125270,Postsecondary nondegree award
Judicial Law Clerks,0.41,59540,16350,Doctoral or professional degree
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.41,59210,59520,Postsecondary nondegree award
Forest and Conservation Technicians,0.42,40110,30220,Associate's degree
"Locker Room, Coatroom, and Dressing Room Attendants",0.43,26720,17610,High school diploma or equivalent
"Physical Scientists, All Other",0.43,110090,17380,Bachelor's degree
Historians,0.44,66380,3040,Master's degree
Medical Appliance Technicians,0.45,42180,14670,High school diploma or equivalent
Psychiatric Aides,0.47,31090,56910,High school diploma or equivalent
Fire Inspectors and Investigators,0.48,64140,12530,Postsecondary nondegree award
Aerospace Engineering and Operations Technicians,0.48,68970,10110,Associate's degree
Merchandise Displayers and Window Trimmers,0.48,31850,128960,High school diploma or equivalent
Computer Programmers,0.48,89580,230470,Bachelor's degree
Crossing Guards,0.49,31970,79880,No formal educational credential
Telecommunications Line Installers and Repairers,0.49,59000,118200,High school diploma or equivalent
"Police, Fire, and Ambulance Dispatchers",0.49,43290,95020,High school diploma or equivalent
"Loading Machine Operators, Underground Mining",0.5,51450,2500,No formal educational credential
"Installation, Maintenance, and Repair Workers, All Other",0.5,43050,157030,High school diploma or equivalent
Court Reporters,0.5,62390,14490,Postsecondary nondegree award
Demonstrators and Product Promoters,0.51,33260,81250,No formal educational credential
Dental Assistants,0.51,39770,341060,Postsecondary nondegree award
Shoe and Leather Workers and Repairers,0.52,29800,8640,High school diploma or equivalent
Architectural and Civil Drafters,0.52,56700,97610,Associate's degree
"Rotary Drill Operators, Oil and Gas",0.53,56740,18010,No formal educational credential
Continuous Mining Machine Operators,0.54,54470,14710,No formal educational credential
Automotive Glass Installers and Repairers,0.55,36370,19640,High school diploma or equivalent
Audio and Video Equipment Technicians,0.55,48940,75940,Postsecondary nondegree award
Transit and Railroad Police,0.57,74450,4470,High school diploma or equivalent
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.57,51280,101390,High school diploma or equivalent
Personal Financial Advisors,0.58,121770,200260,Bachelor's degree
Millwrights,0.59,56250,43810,High school diploma or equivalent
Museum Technicians and Conservators,0.59,46870,13100,Bachelor's degree
Mine Cutting and Channeling Machine Operators,0.59,49080,4920,High school diploma or equivalent
Recreational Vehicle Service Technicians,0.59,40090,15560,High school diploma or equivalent
Automotive Service Technicians and Mechanics,0.59,43730,648050,Postsecondary nondegree award
Correctional Officers and Jailers,0.6,49300,415000,High school diploma or equivalent
"Camera Operators, Television, Video, and Motion Picture",0.6,61750,21080,Bachelor's degree
Slaughterers and Meat Packers,0.6,28450,75550,No formal educational credential
"Electronic Equipment Installers and Repairers, Motor Vehicles",0.61,36750,10880,High school diploma or equivalent
Physical Therapist Aides,0.61,28500,47260,High school diploma or equivalent
Costume Attendants,0.61,46010,6460,High school diploma or equivalent
"Life, Physical, and Social Science Technicians, All Other",0.61,52940,65220,Associate's degree
Food Cooking Machine Operators and Tenders,0.61,31690,32260,High school diploma or equivalent
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.61,39160,35080,High school diploma or equivalent
Motorboat Operators,0.62,50350,2510,Postsecondary nondegree award
Tapers,0.62,57340,18320,No formal educational credential
Pipelayers,0.62,43500,38070,No formal educational credential
"Geoscientists, Except Hydrologists and Geographers",0.63,107800,29260,Bachelor's degree
"Control and Valve Installers and Repairers, Except Mechanical Door",0.63,57890,51730,High school diploma or equivalent
"Healthcare Support Workers, All Other",0.63,39110,88990,High school diploma or equivalent
First-Line Supervisors of Food Preparation and Serving Workers,0.63,36190,964400,High school diploma or equivalent
"Cutters and Trimmers, Hand",0.64,31600,10580,No formal educational credential
"Administrative Law Judges, Adjudicators, and Hearing Officers",0.64,101210,14280,Doctoral or professional degree
Power Distributors and Dispatchers,0.64,85340,11620,High school diploma or equivalent
"Insulation Workers, Mechanical",0.64,53180,24610,High school diploma or equivalent
Electronic Home Entertainment Equipment Installers and Repairers,0.65,39800,26070,Postsecondary nondegree award
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.66,28950,2156270,No formal educational credential
Motorboat Mechanics and Service Technicians,0.66,42330,22280,High school diploma or equivalent
"Paper Goods Machine Setters, Operators, and Tenders",0.67,40320,97960,High school diploma or equivalent
Foundry Mold and Coremakers,0.67,36820,15600,High school diploma or equivalent
"Bus Drivers, Transit and Intercity",0.67,44650,174110,High school diploma or equivalent
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.67,24420,144370,No formal educational credential
Industrial Machinery Mechanics,0.67,54000,362440,High school diploma or equivalent
Postal Service Mail Carriers,0.68,51780,342410,High school diploma or equivalent
Mechanical Drafters,0.68,59010,56170,Associate's degree
